id2.2013,typ_border,typ_border.incl,trust_natgov,trust_eu,trust.incl,eqi_2013,eqi.incl,Competitiveness,Convergence,Cooperation,Multi.Objective,struct_2007.incl,Less.Developed,Transition,More.Developed,struct_2014.incl,unemployment_2013,unemp.incl,education_2013,edu.incl,soc_idx,soc_idx.incl,migration_2013,migration.incl,sgi_aggregated,sgi_aggregated.incl,agr_share,agr.incl,eu_id_positive,eu_id_neutral,eu_id_negative,eu_id_dk,eu_id.incl,eu_att_positive,eu_att_neutral,eu_att_negative,eu_att_dk,eu_att.incl
AT11,1,1,52.85714285714286,37.142857142857146,1,1.048362,1,0,1,1,0,1,0,1,0,1,4.3,1,15.8,1,69.9,1,6,1,-3,1,4.5,1,25.8,35.48,30.64,8.06,1,22.03,40.67,37.28,0,1
AT13,1,1,46.09218436873748,44.68937875751503,1,0.465641,1,1,0,1,0,1,0,0,1,1,9.2,1,30.6,1,73.11,1,12.5,1,9.44,1,0.6,1,41.07,27.57,30.55,0.79,1,58.57,30.96,8.87,1.57,1
AT21,1,1,17.318435754189945,14.52513966480447,1,0.870488,1,1,0,1,0,1,0,0,1,1,5.5,1,17.3,1,71.24,1,2.6,1,-1.37,1,5.1,1,17.17,27.6,54.6,0.61,1,30.28,52.11,17.6,0,1
AT22,2,1,24.88479262672811,28.57142857142857,1,1.11828,1,1,0,1,0,1,0,0,1,1,4.7,1,17.5,1,73.82,1,4.5,1,1.02,1,7.3,1,18.18,33.83,47.47,0.5,1,32.04,44.75,23.2,0,1
AT31,2,1,35.1010101010101,19.19191919191919,1,0.990609,1,1,0,1,0,1,0,0,1,1,4.3,1,17.2,1,72.12,1,4.8,1,0.68,1,6.2,1,14.04,30.26,51.57,4.11,1,37.04,38.63,22.5,1.81,1
AT33,1,1,25.735294117647058,27.205882352941174,1,1.372768,1,1,0,1,0,1,0,0,1,1,3.1,1,19.1,1,75.13,1,6.1,1,-0.16,1,4.6,1,22.22,34.02,42.36,1.38,1,42.05,40.18,16.82,0.93,1
BE10,0,1,49.122807017543856,52.63157894736842,1,0.201588,1,1,0,0,0,1,0,0,1,1,19.2,1,41.5,1,66.85,1,0.2,1,5.91,1,1.4,0,45.93,38.61,15.04,0.4,1,81.49,14.96,3.54,0,1
BE21,2,1,36.11111111111111,35.76388888888889,1,1.317692,0,1,0,1,0,1,0,0,1,1,6.2,1,35.4,1,72.06,1,1.9,1,5.37,1,0.9,1,28.98,37.31,31.15,2.53,1,45.19,37.36,16.01,1.42,1
BE23,2,1,45.258620689655174,41.37931034482759,1,1.317692,0,1,0,1,0,1,0,0,1,1,4,1,37.3,1,73.82,1,4.3,1,5.44,1,1.5,1,36.43,40.52,22.3,0.74,1,40.58,47.28,10.87,1.25,1
BE24,0,1,47.22222222222222,45.13888888888889,1,1.317692,0,1,0,1,0,1,0,0,1,1,5.5,1,44.3,1,74.31,1,3.6,1,6.35,1,1,1,40.93,42.95,15.43,0.67,1,76.31,19.73,3.94,0,1
BE25,2,1,41.60839160839161,43.00699300699301,1,1.317692,0,1,0,1,0,1,0,0,1,1,3.9,1,32.8,1,70.75,1,2.7,1,3.27,1,2.3,1,38.59,40.6,17.44,3.35,1,66.33,28.38,4.95,0.33,1
BE31,0,1,34.61538461538461,35.8974358974359,1,0.160885,0,1,0,0,0,1,0,0,1,1,8.2,1,51.2,1,68.89,1,4.5,1,2.5,1,1.9,0,42.3,33.33,23.07,1.28,1,67.08,25.31,7.59,0,1
BE32,2,1,20.8955223880597,27.860696517412936,1,0.160885,0,0,1,1,0,1,0,1,0,1,13.2,1,28,1,62.44,1,2.4,1,2.34,1,1.9,1,22.92,42.43,33.65,0.97,1,51.11,35.55,11.11,2.22,1
BE33,2,1,22.727272727272727,25.454545454545453,1,0.160885,0,1,0,1,0,1,0,1,0,1,11.7,1,31.9,1,64.8,1,2,1,1.85,1,1.5,1,23.89,36.28,39.38,0.44,1,52.91,36.89,9.22,0.97,1
BG31,2,1,22.54901960784314,52.450980392156865,1,-2.02038,1,0,1,1,0,1,1,0,0,1,14,1,19.4,1,40.62,1,-5.4,1,-7.4,1,8.9,1,51.2,36.71,10.62,1.44,1,50.48,25.48,20.19,3.84,1
BG32,2,1,28.448275862068968,40.51724137931034,1,-1.3914,1,0,1,1,0,1,1,0,0,1,15.3,1,22,1,46.22,1,-2.6,1,-6.68,1,8.5,1,42.85,38.83,14.73,3.57,1,39.28,39.28,16.96,4.46,1
BG33,2,1,18.115942028985508,52.17391304347826,1,-0.11087,1,0,1,1,0,1,1,0,0,1,16.8,1,25.2,1,45.67,1,1,1,-6.58,1,8.7,1,50.69,32.29,15.97,1.04,1,41.66,29.86,27.43,1.04,1
BG34,2,1,20,38.70967741935484,1,-1.59154,1,0,1,0,0,1,1,0,0,1,13,1,20.5,1,39.72,1,0.1,1,-7.59,1,8.8,1,42.63,36.36,20.37,0.62,1,43.61,17.13,33.02,6.23,1
BG41,2,1,22.22222222222222,45.26143790849673,1,-2.59795,1,0,1,1,0,1,1,0,0,1,9.8,1,35.1,1,50.7,1,3.1,1,-3.31,1,3.6,1,45.12,30.03,22.24,2.59,1,50.32,23.85,22.87,2.94,1
BG42,2,1,28.235294117647058,48.705882352941174,1,-0.94029,1,0,1,1,0,1,1,0,0,1,13.5,1,20.5,1,44.22,1,-1.5,1,-6.68,1,11.2,1,56.4,32.26,10.34,0.98,1,45.78,30.84,19.27,4.09,1
CY00,1,1,23.55289421157685,20.55888223552894,1,0.230092,1,0,0,1,1,1,0,0,1,1,15.9,1,39.3,1,58.98,1,-14,1,-3.88,1,3.1,1,24.37,35.76,38.86,0.99,1,28.3,42.4,28.2,1.1,1
CZ01,0,1,29.533678756476682,22.797927461139896,1,-0.33596,1,1,1,1,1,1,0,0,1,1,3.1,1,38.4,1,65.85,1,-4.3,1,5.36,1,0.4,1,25.53,42.55,31.38,0.53,1,37.76,37.76,20.6,3.86,1
CZ02,0,1,16.52542372881356,33.05084745762712,1,-0.28528,1,0,1,1,1,1,1,0,0,1,5.2,1,19.9,1,59.09,1,7.1,1,-4.73,1,3.1,1,32.48,48.54,18.24,0.72,1,32.03,43.29,22.51,2.16,1
CZ03,1,1,24.63054187192118,25.615763546798032,1,-0.13564,1,0,1,1,1,1,1,0,0,1,5.2,1,18,1,63.2,1,1.4,1,-3.06,1,5,1,22.84,52.28,23.85,1.01,1,28.42,46.7,23.85,1.01,1
CZ05,1,1,29.372937293729372,23.432343234323433,1,-0.18258,1,0,1,1,1,1,1,0,0,1,8.3,1,16.8,1,61.54,1,-0.5,1,-3.6,1,4.2,1,27.21,41.49,30.95,0.34,1,26.78,50,22.14,1.07,1
CZ06,1,1,43.47826086956522,37.10144927536232,1,-0.06521,1,0,1,1,1,1,1,0,0,1,6.8,1,22.6,1,63.55,1,-0.1,1,-0.83,1,4.6,1,32.47,38.79,27.58,1.14,1,39.6,31.62,25.07,3.7,1
CZ07,1,1,21.5311004784689,27.751196172248804,1,-0.25007,1,0,1,1,1,1,1,0,0,1,8,1,16.2,1,61.41,1,-1.1,1,-3,1,3.7,1,28.29,30.24,40,1.46,1,43.13,25.49,28.92,2.45,1
DE11,0,1,46.733668341708544,32.914572864321606,0,0.980281,0,1,0,0,0,1,0,0,1,1,3.6,1,32.5,1,73.6,1,29.4,1,4.63,1,1.1,1,39.52,36.91,21.98,1.57,1,60.26,31.84,5.78,2.1,1
DE12,2,1,46.733668341708544,32.914572864321606,0,0.980281,0,1,0,1,0,1,0,0,1,1,3.6,1,31,1,73.79,1,36.2,1,3.9,1,0.5,1,39.52,36.91,21.98,1.57,1,60.26,31.84,5.78,2.1,1
DE13,2,1,46.733668341708544,32.914572864321606,0,0.980281,0,1,0,1,0,1,0,0,1,1,2.9,1,29.7,1,74.35,1,32,1,2.11,1,1.3,1,39.52,36.91,21.98,1.57,1,60.26,31.84,5.78,2.1,1
DE14,2,1,46.733668341708544,32.914572864321606,0,0.980281,0,1,0,1,0,1,0,0,1,1,2.9,1,33.1,1,74.3,1,30.5,1,1.1,1,2.2,1,39.52,36.91,21.98,1.57,1,60.26,31.84,5.78,2.1,1
DE21,2,1,30.930930930930934,21.62162162162162,0,1.04461,0,1,0,1,0,1,0,0,1,1,2.5,1,37,1,74.01,1,25.7,1,6.36,1,1.7,1,23.98,41.66,32.82,1.51,1,55.11,33.85,9.71,1.31,1
DE22,2,1,30.930930930930934,21.62162162162162,0,1.04461,0,1,0,1,0,1,0,0,1,1,3.2,1,23.2,1,70.82,1,22.6,1,-0.98,1,3.4,1,23.98,41.66,32.82,1.51,1,55.11,33.85,9.71,1.31,1
DE23,2,1,30.930930930930934,21.62162162162162,0,1.04461,0,1,0,1,0,1,0,0,1,1,3.4,1,26.7,1,71.9,1,14.2,1,0.42,1,2.6,1,23.98,41.66,32.82,1.51,1,55.11,33.85,9.71,1.31,1
DE24,2,1,30.930930930930934,21.62162162162162,0,1.04461,0,1,0,1,0,1,0,0,1,1,3.9,1,26.1,1,72,1,7.8,1,1.44,1,1.7,1,23.98,41.66,32.82,1.51,1,55.11,33.85,9.71,1.31,1
DE25,0,1,30.930930930930934,21.62162162162162,0,1.04461,0,1,0,0,0,1,0,0,1,1,3.1,1,28.9,1,72.37,1,24.5,1,2.35,1,1.7,1,23.98,41.66,32.82,1.51,1,55.11,33.85,9.71,1.31,1
DE26,0,1,30.930930930930934,21.62162162162162,0,1.04461,0,1,0,0,0,1,0,0,1,1,3.3,1,28.4,1,73.43,1,14.8,1,0.78,1,1.5,1,23.98,41.66,32.82,1.51,1,55.11,33.85,9.71,1.31,1
DE27,2,1,30.930930930930934,21.62162162162162,0,1.04461,0,1,0,1,0,1,0,0,1,1,3.3,1,26.2,1,72.71,1,12,1,0.53,1,2.6,1,23.98,41.66,32.82,1.51,1,55.11,33.85,9.71,1.31,1
DE71,0,1,41.55251141552511,30.59360730593607,0,0.840277,0,1,0,0,0,1,0,0,1,1,4.3,1,32.5,1,73.43,1,27.5,1,6.96,1,0.9,1,37.68,39.13,20.77,2.41,1,55.74,35.05,4.59,4.59,1
DE72,0,1,41.55251141552511,30.59360730593607,0,0.840277,0,1,0,0,0,1,0,0,1,1,4.5,1,29.4,1,73.91,1,16.4,1,1.72,1,1.6,1,37.68,39.13,20.77,2.41,1,55.74,35.05,4.59,4.59,1
DE73,0,1,41.55251141552511,30.59360730593607,0,0.840277,0,1,0,0,0,1,0,0,1,1,4.3,1,26.3,1,73.09,1,13,1,1.45,1,1.8,1,37.68,39.13,20.77,2.41,1,55.74,35.05,4.59,4.59,1
DE80,2,1,36.84210526315789,30.263157894736842,1,0.830991,1,0,1,1,0,1,0,1,0,1,10,1,26.3,1,71.09,1,18.9,1,-0.16,1,3.1,1,29.81,45.34,22.36,2.48,1,45.27,45.27,9.45,0,1
DE91,0,1,39.937106918238996,27.9874213836478,0,1.062073,0,1,0,0,0,1,0,0,1,1,6.2,1,25.7,1,71.54,1,23.5,1,3.08,1,1.8,1,30.43,46.64,21.34,1.58,1,51.47,37.86,8.45,2.2,1
DE92,0,1,39.937106918238996,27.9874213836478,0,1.062073,0,1,0,0,0,1,0,0,1,1,5.4,1,27,1,71.32,1,25.7,1,3.05,1,1.3,1,30.43,46.64,21.34,1.58,1,51.47,37.86,8.45,2.2,1
DE93,0,1,39.937106918238996,27.9874213836478,0,1.062073,0,0,1,0,0,1,0,1,0,1,4.3,1,23.2,1,70.85,1,18.4,1,-0.02,1,3.5,1,30.43,46.64,21.34,1.58,1,51.47,37.86,8.45,2.2,1
DE94,2,1,39.937106918238996,27.9874213836478,0,1.062073,0,1,0,1,0,1,0,0,1,1,4,1,22.3,1,70.46,1,21.2,1,2.19,1,3.5,1,30.43,46.64,21.34,1.58,1,51.47,37.86,8.45,2.2,1
DEA1,2,1,45.011600928074245,33.64269141531322,0,0.709927,0,1,0,1,0,1,0,0,1,1,6.3,1,24.6,1,71.08,1,20.7,1,9.58,1,0.8,1,44.05,33.33,20.51,2.09,1,59.34,28.47,9.13,3.04,1
DEA2,2,1,45.011600928074245,33.64269141531322,0,0.709927,0,1,0,1,0,1,0,0,1,1,5.8,1,29.3,1,72.38,1,29.7,1,7.46,1,0.9,1,44.05,33.33,20.51,2.09,1,59.34,28.47,9.13,3.04,1
DEA3,2,1,45.011600928074245,33.64269141531322,0,0.709927,0,1,0,1,0,1,0,0,1,1,5.1,1,24.7,1,71.22,1,12.6,1,3.13,1,2.5,1,44.05,33.33,20.51,2.09,1,59.34,28.47,9.13,3.04,1
